,Job_Step_1,Job_Step_2,Job_1,Job_2,Cost
0,01-01-01-01-01,01-01-01-01-02,SN,SN,0.0
1,01-01-01-01-01,01-01-01-01-02,NS,NS,100.0
2,01-01-01-01-01,01-01-01-01-02,NS,SN,375.0
3,01-01-01-01-01,01-01-01-01-02,SN,NS,375.0
4,01-01-01-01-01,01-01-01-01-03,SN,SN,50.0
5,01-01-01-01-01,01-01-01-01-03,NS,NS,150.0
6,01-01-01-01-01,01-01-01-01-03,NS,SN,425.0
7,01-01-01-01-01,01-01-01-01-03,SN,NS,425.0
8,01-01-01-01-01,01-01-01-01-04,SN,SN,100.0
9,01-01-01-01-01,01-01-01-01-04,NS,NS,200.0
10,01-01-01-01-01,01-01-01-01-04,NS,SN,475.0
11,01-01-01-01-01,01-01-01-01-04,SN,NS,475.0
12,01-01-01-01-01,01-01-01-01-05,SN,SN,150.0
13,01-01-01-01-01,01-01-01-01-05,NS,NS,250.0
14,01-01-01-01-01,01-01-01-01-05,NS,SN,525.0
15,01-01-01-01-01,01-01-01-01-05,SN,NS,525.0
16,01-01-01-01-01,01-01-01-01-06,SN,SN,200.0
17,01-01-01-01-01,01-01-01-01-06,NS,NS,300.0
18,01-01-01-01-01,01-01-01-01-06,NS,SN,575.0
19,01-01-01-01-01,01-01-01-01-06,SN,NS,575.0
20,01-01-01-01-01,01-01-01-01-07,SN,SN,250.0
21,01-01-01-01-01,01-01-01-01-07,NS,NS,350.0
22,01-01-01-01-01,01-01-01-01-07,NS,SN,625.0
23,01-01-01-01-01,01-01-01-01-07,SN,NS,625.0
24,01-01-01-01-01,01-01-01-01-08,SN,SN,300.0
25,01-01-01-01-01,01-01-01-01-08,NS,NS,400.0
26,01-01-01-01-01,01-01-01-01-08,NS,SN,675.0
27,01-01-01-01-01,01-01-01-01-08,SN,NS,675.0
28,01-01-01-01-01,01-01-01-01-09,SN,SN,350.0
29,01-01-01-01-01,01-01-01-01-09,NS,NS,450.0
30,01-01-01-01-01,01-01-01-01-09,NS,SN,725.0
31,01-01-01-01-01,01-01-01-01-09,SN,NS,725.0
32,01-01-01-01-01,01-01-01-01-10,SN,SN,400.0
33,01-01-01-01-01,01-01-01-01-10,NS,NS,500.0
34,01-01-01-01-01,01-01-01-01-10,NS,SN,775.0
35,01-01-01-01-01,01-01-01-01-10,SN,NS,775.0
36,01-01-01-01-01,01-01-01-02-01,SN,SN,102.319438302546
37,01-01-01-01-01,01-01-01-02-01,NS,NS,102.319438302546
38,01-01-01-01-01,01-01-01-02-01,NS,SN,377.319438302546
39,01-01-01-01-01,01-01-01-02-01,SN,NS,377.319438302546
40,01-01-01-01-01,01-01-01-02-02,SN,SN,52.319438302545606
41,01-01-01-01-01,01-01-01-02-02,NS,NS,152.31943830254602
42,01-01-01-01-01,01-01-01-02-02,NS,SN,427.319438302546
43,01-01-01-01-01,01-01-01-02-02,SN,NS,427.319438302546
44,01-01-01-01-01,01-01-01-02-03,SN,SN,102.319438302546
45,01-01-01-01-01,01-01-01-02-03,NS,NS,202.31943830254602
46,01-01-01-01-01,01-01-01-02-03,NS,SN,477.319438302546
47,01-01-01-01-01,01-01-01-02-03,SN,NS,477.319438302546
48,01-01-01-01-01,01-01-01-02-04,SN,SN,152.31943830254602
49,01-01-01-01-01,01-01-01-02-04,NS,NS,252.31943830254602
50,01-01-01-01-01,01-01-01-02-04,NS,SN,527.319438302546
51,01-01-01-01-01,01-01-01-02-04,SN,NS,527.319438302546
52,01-01-01-01-01,01-01-01-02-05,SN,SN,202.31943830254602
53,01-01-01-01-01,01-01-01-02-05,NS,NS,302.319438302546
54,01-01-01-01-01,01-01-01-02-05,NS,SN,577.319438302546
55,01-01-01-01-01,01-01-01-02-05,SN,NS,577.319438302546
56,01-01-01-01-01,01-01-01-02-06,SN,SN,252.31943830254602
57,01-01-01-01-01,01-01-01-02-06,NS,NS,352.319438302546
58,01-01-01-01-01,01-01-01-02-06,NS,SN,627.319438302546
59,01-01-01-01-01,01-01-01-02-06,SN,NS,627.319438302546
60,01-01-01-01-01,01-01-01-02-07,SN,SN,302.319438302546
61,01-01-01-01-01,01-01-01-02-07,NS,NS,402.319438302546
62,01-01-01-01-01,01-01-01-02-07,NS,SN,677.319438302546
63,01-01-01-01-01,01-01-01-02-07,SN,NS,677.319438302546
64,01-01-01-01-01,01-01-01-02-08,SN,SN,352.319438302546
65,01-01-01-01-01,01-01-01-02-08,NS,NS,452.319438302546
66,01-01-01-01-01,01-01-01-02-08,NS,SN,727.3194383025459
67,01-01-01-01-01,01-01-01-02-08,SN,NS,727.3194383025459
68,01-01-01-01-01,01-01-01-02-09,SN,SN,402.319438302546
69,01-01-01-01-01,01-01-01-02-09,NS,NS,502.319438302546
70,01-01-01-01-01,01-01-01-02-09,NS,SN,777.3194383025459
71,01-01-01-01-01,01-01-01-02-09,SN,NS,777.3194383025459
72,01-01-01-01-01,01-01-01-02-10,SN,SN,452.319438302546
73,01-01-01-01-01,01-01-01-02-10,NS,NS,552.319438302546
74,01-01-01-01-01,01-01-01-02-10,NS,SN,827.3194383025459
75,01-01-01-01-01,01-01-01-02-10,SN,NS,827.3194383025459
76,01-01-01-01-01,01-01-01-03-01,SN,SN,154.638876605091
77,01-01-01-01-01,01-01-01-03-01,NS,NS,154.638876605091
78,01-01-01-01-01,01-01-01-03-01,NS,SN,429.638876605091
79,01-01-01-01-01,01-01-01-03-01,SN,NS,429.638876605091
80,01-01-01-01-01,01-01-01-03-02,SN,SN,104.638876605091
81,01-01-01-01-01,01-01-01-03-02,NS,NS,204.638876605091
82,01-01-01-01-01,01-01-01-03-02,NS,SN,479.638876605091
83,01-01-01-01-01,01-01-01-03-02,SN,NS,479.638876605091
84,01-01-01-01-01,01-01-01-03-03,SN,SN,154.638876605091
85,01-01-01-01-01,01-01-01-03-03,NS,NS,254.638876605091
86,01-01-01-01-01,01-01-01-03-03,NS,SN,529.638876605091
87,01-01-01-01-01,01-01-01-03-03,SN,NS,529.638876605091
88,01-01-01-01-01,01-01-01-03-04,SN,SN,204.638876605091
89,01-01-01-01-01,01-01-01-03-04,NS,NS,304.638876605091
90,01-01-01-01-01,01-01-01-03-04,NS,SN,579.638876605091
