,Cut_ID,Product_Description,Al2O3,CaO,Fe,MgO,Mn,P,S,SiO2,TiO2,Cut_Volume,Cut_Tonnage,Cost
0,01-01-01-01-01,F,2.3217705077391897,0.0333398639863372,61.587030335982504,0.0811534537069818,0.111392684715712,0.0784325245984163,0.0271872219923874,3.3234160806760196,0.111383601313328,216.417881465144,462.056179639603,616.074906186137
1,01-01-01-01-02,F,2.3309357933067303,0.0332825654547885,61.54954186676971,0.0811917001783551,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,0.11201298507587598,672.10197008001,1434.9501368417903,956.633424561196
2,01-01-01-01-03,F,2.3309357933067303,0.0332825654547885,61.54954186676971,0.0811917001783551,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,0.11201298507587598,672.10197008001,1434.9501368417903,956.633424561196
3,01-01-01-01-04,F,2.3309357933067303,0.0332825654547885,61.54954186676971,0.0811917001783551,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,0.11201298507587598,672.10197008001,1434.9501368417903,956.633424561196
4,01-01-01-01-05,F,2.3309357933067303,0.0332825654547885,61.54954186676971,0.0811917001783551,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,0.11201298507587598,672.10197008001,1434.9501368417903,956.633424561196
5,01-01-01-01-06,F,2.3309357933067303,0.0332825654547885,61.54954186676971,0.0811917001783551,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,0.11201298507587598,672.10197008001,1434.9501368417903,956.633424561196
6,01-01-01-01-07,F,2.3309357933067303,0.0332825654547885,61.54954186676971,0.0811917001783551,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,0.11201298507587598,672.10197008001,1434.9501368417903,956.633424561196
7,01-01-01-01-08,F,2.3309357933067303,0.0332825654547885,61.54954186676971,0.0811917001783551,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,0.11201298507587598,672.10197008001,1434.9501368417903,956.633424561196
8,01-01-01-01-09,F,2.3309357933067303,0.0332825654547885,61.54954186676971,0.0811917001783551,0.11092353815905498,0.0779864863802027,0.027018718281314,3.3201066320464503,0.11201298507587598,672.10197008001,1434.9501368417903,956.633424561196
9,01-01-01-01-10,F,2.3217705077391897,0.0333398639863372,61.587030335982504,0.0811534537069818,0.111392684715712,0.0784325245984163,0.0271872219923874,3.3234160806760196,0.111383601313328,216.417881465144,462.056179639603,616.074906186137
