,Job_Step_1,Job_Step_2,Job
0,01-01-01-01-01,01-01-01-01-02,SN
1,01-01-01-01-01,01-01-01-02-01,SN
2,01-01-01-01-01,01-01-01-02-01,NS
3,01-01-01-01-02,01-01-01-01-03,SN
4,01-01-01-01-02,01-01-01-01-01,NS
5,01-01-01-01-02,01-01-01-02-02,SN
6,01-01-01-01-02,01-01-01-02-02,NS
7,01-01-01-01-03,01-01-01-01-04,SN
8,01-01-01-01-03,01-01-01-01-02,NS
9,01-01-01-01-03,01-01-01-02-03,SN
10,01-01-01-01-03,01-01-01-02-03,NS
11,01-01-01-01-04,01-01-01-01-05,SN
12,01-01-01-01-04,01-01-01-01-03,NS
13,01-01-01-01-04,01-01-01-02-04,SN
14,01-01-01-01-04,01-01-01-02-04,NS
15,01-01-01-01-05,01-01-01-01-06,SN
16,01-01-01-01-05,01-01-01-01-04,NS
17,01-01-01-01-05,01-01-01-02-05,SN
18,01-01-01-01-05,01-01-01-02-05,NS
19,01-01-01-01-06,01-01-01-01-07,SN
20,01-01-01-01-06,01-01-01-01-05,NS
21,01-01-01-01-06,01-01-01-02-06,SN
22,01-01-01-01-06,01-01-01-02-06,NS
23,01-01-01-01-07,01-01-01-01-08,SN
24,01-01-01-01-07,01-01-01-01-06,NS
25,01-01-01-01-07,01-01-01-02-07,SN
26,01-01-01-01-07,01-01-01-02-07,NS
27,01-01-01-01-08,01-01-01-01-09,SN
28,01-01-01-01-08,01-01-01-01-07,NS
29,01-01-01-01-08,01-01-01-02-08,SN
30,01-01-01-01-08,01-01-01-02-08,NS
31,01-01-01-01-09,01-01-01-01-10,SN
32,01-01-01-01-09,01-01-01-01-08,NS
33,01-01-01-01-09,01-01-01-02-09,SN
34,01-01-01-01-09,01-01-01-02-09,NS
35,01-01-01-01-10,01-01-01-01-09,NS
36,01-01-01-01-10,01-01-01-02-10,SN
37,01-01-01-01-10,01-01-01-02-10,NS
38,01-01-01-02-01,01-01-01-02-02,SN
39,01-01-01-02-01,01-01-01-03-01,SN
40,01-01-01-02-01,01-01-01-03-01,NS
41,01-01-01-02-02,01-01-01-02-03,SN
42,01-01-01-02-02,01-01-01-02-01,NS
43,01-01-01-02-02,01-01-01-03-02,SN
44,01-01-01-02-02,01-01-01-03-02,NS
45,01-01-01-02-03,01-01-01-02-04,SN
46,01-01-01-02-03,01-01-01-02-02,NS
47,01-01-01-02-03,01-01-01-03-03,SN
48,01-01-01-02-03,01-01-01-03-03,NS
49,01-01-01-02-04,01-01-01-02-05,SN
50,01-01-01-02-04,01-01-01-02-03,NS
51,01-01-01-02-04,01-01-01-03-04,SN
52,01-01-01-02-04,01-01-01-03-04,NS
53,01-01-01-02-05,01-01-01-02-06,SN
54,01-01-01-02-05,01-01-01-02-04,NS
55,01-01-01-02-05,01-01-01-03-05,SN
56,01-01-01-02-05,01-01-01-03-05,NS
57,01-01-01-02-06,01-01-01-02-07,SN
58,01-01-01-02-06,01-01-01-02-05,NS
59,01-01-01-02-06,01-01-01-03-06,SN
60,01-01-01-02-06,01-01-01-03-06,NS
61,01-01-01-02-07,01-01-01-02-08,SN
62,01-01-01-02-07,01-01-01-02-06,NS
63,01-01-01-02-07,01-01-01-03-07,SN
64,01-01-01-02-07,01-01-01-03-07,NS
65,01-01-01-02-08,01-01-01-02-09,SN
66,01-01-01-02-08,01-01-01-02-07,NS
67,01-01-01-02-08,01-01-01-03-08,SN
68,01-01-01-02-08,01-01-01-03-08,NS
69,01-01-01-02-09,01-01-01-02-10,SN
70,01-01-01-02-09,01-01-01-02-08,NS
71,01-01-01-02-09,01-01-01-03-09,SN
72,01-01-01-02-09,01-01-01-03-09,NS
73,01-01-01-02-10,01-01-01-02-09,NS
74,01-01-01-02-10,01-01-01-03-10,SN
75,01-01-01-02-10,01-01-01-03-10,NS
76,01-01-01-03-01,01-01-01-03-02,SN
77,01-01-01-03-01,01-01-01-04-01,SN
78,01-01-01-03-01,01-01-01-04-01,NS
79,01-01-01-03-02,01-01-01-03-03,SN
80,01-01-01-03-02,01-01-01-03-01,NS
81,01-01-01-03-02,01-01-01-04-02,SN
82,01-01-01-03-02,01-01-01-04-02,NS
83,01-01-01-03-03,01-01-01-03-04,SN
84,01-01-01-03-03,01-01-01-03-02,NS
85,01-01-01-03-03,01-01-01-04-03,SN
86,01-01-01-03-03,01-01-01-04-03,NS
87,01-01-01-03-04,01-01-01-03-05,SN
88,01-01-01-03-04,01-01-01-03-03,NS
89,01-01-01-03-04,01-01-01-04-04,SN
90,01-01-01-03-04,01-01-01-04-04,NS
91,01-01-01-03-05,01-01-01-03-06,SN
92,01-01-01-03-05,01-01-01-03-04,NS
93,01-01-01-03-05,01-01-01-04-05,SN
94,01-01-01-03-05,01-01-01-04-05,NS
95,01-01-01-03-06,01-01-01-03-07,SN
96,01-01-01-03-06,01-01-01-03-05,NS
97,01-01-01-03-06,01-01-01-04-06,SN
98,01-01-01-03-06,01-01-01-04-06,NS
99,01-01-01-03-07,01-01-01-03-08,SN
100,01-01-01-03-07,01-01-01-03-06,NS
101,01-01-01-03-07,01-01-01-04-07,SN
102,01-01-01-03-07,01-01-01-04-07,NS
103,01-01-01-03-08,01-01-01-03-09,SN
104,01-01-01-03-08,01-01-01-03-07,NS
105,01-01-01-03-08,01-01-01-04-08,SN
106,01-01-01-03-08,01-01-01-04-08,NS
107,01-01-01-03-09,01-01-01-03-10,SN
108,01-01-01-03-09,01-01-01-03-08,NS
109,01-01-01-03-09,01-01-01-04-09,SN
110,01-01-01-03-09,01-01-01-04-09,NS
111,01-01-01-03-10,01-01-01-03-09,NS
112,01-01-01-03-10,01-01-01-04-10,SN
113,01-01-01-03-10,01-01-01-04-10,NS
114,01-01-01-04-01,01-01-01-04-02,SN
115,01-01-01-04-02,01-01-01-04-03,SN
116,01-01-01-04-02,01-01-01-04-01,NS
