,Job_Step_1,Job_Step_2,Job
0,01-01-01-01-01,01-01-01-02-01,NS
1,01-01-01-01-02,01-01-01-01-01,NS
2,01-01-01-01-02,01-01-01-02-02,NS
3,01-01-01-01-03,01-01-01-01-02,NS
4,01-01-01-01-03,01-01-01-02-03,NS
5,01-01-01-01-04,01-01-01-01-03,NS
6,01-01-01-01-04,01-01-01-02-04,NS
7,01-01-01-01-05,01-01-01-01-04,NS
8,01-01-01-01-05,01-01-01-02-05,NS
9,01-01-01-01-06,01-01-01-01-05,NS
10,01-01-01-01-06,01-01-01-02-06,NS
11,01-01-01-01-07,01-01-01-01-06,NS
12,01-01-01-01-07,01-01-01-02-07,NS
13,01-01-01-01-08,01-01-01-01-07,NS
14,01-01-01-01-08,01-01-01-02-08,NS
15,01-01-01-01-09,01-01-01-01-08,NS
16,01-01-01-01-09,01-01-01-02-09,NS
17,01-01-01-01-10,01-01-01-01-09,NS
18,01-01-01-01-10,01-01-01-02-10,NS
19,01-01-01-02-01,01-01-01-03-01,NS
20,01-01-01-02-02,01-01-01-02-01,NS
21,01-01-01-02-02,01-01-01-03-02,NS
22,01-01-01-02-03,01-01-01-02-02,NS
23,01-01-01-02-03,01-01-01-03-03,NS
24,01-01-01-02-04,01-01-01-02-03,NS
25,01-01-01-02-04,01-01-01-03-04,NS
26,01-01-01-02-05,01-01-01-02-04,NS
27,01-01-01-02-05,01-01-01-03-05,NS
28,01-01-01-02-06,01-01-01-02-05,NS
29,01-01-01-02-06,01-01-01-03-06,NS
30,01-01-01-02-07,01-01-01-02-06,NS
31,01-01-01-02-07,01-01-01-03-07,NS
32,01-01-01-02-08,01-01-01-02-07,NS
33,01-01-01-02-08,01-01-01-03-08,NS
34,01-01-01-02-09,01-01-01-02-08,NS
35,01-01-01-02-09,01-01-01-03-09,NS
36,01-01-01-02-10,01-01-01-02-09,NS
37,01-01-01-02-10,01-01-01-03-10,NS
38,01-01-01-03-01,01-01-01-04-01,NS
39,01-01-01-03-02,01-01-01-03-01,NS
40,01-01-01-03-02,01-01-01-04-02,NS
41,01-01-01-03-03,01-01-01-03-02,NS
42,01-01-01-03-03,01-01-01-04-03,NS
43,01-01-01-03-04,01-01-01-03-03,NS
44,01-01-01-03-04,01-01-01-04-04,NS
45,01-01-01-03-05,01-01-01-03-04,NS
46,01-01-01-03-05,01-01-01-04-05,NS
47,01-01-01-03-06,01-01-01-03-05,NS
48,01-01-01-03-06,01-01-01-04-06,NS
49,01-01-01-03-07,01-01-01-03-06,NS
50,01-01-01-03-07,01-01-01-04-07,NS
51,01-01-01-03-08,01-01-01-03-07,NS
52,01-01-01-03-08,01-01-01-04-08,NS
53,01-01-01-03-09,01-01-01-03-08,NS
54,01-01-01-03-09,01-01-01-04-09,NS
55,01-01-01-03-10,01-01-01-03-09,NS
56,01-01-01-03-10,01-01-01-04-10,NS
57,01-01-01-04-02,01-01-01-04-01,NS
58,01-01-01-04-03,01-01-01-04-02,NS
59,01-01-01-04-04,01-01-01-04-03,NS
60,01-01-01-04-05,01-01-01-04-04,NS
61,01-01-01-04-06,01-01-01-04-05,NS
62,01-01-01-04-07,01-01-01-04-06,NS
63,01-01-01-04-08,01-01-01-04-07,NS
64,01-01-01-04-09,01-01-01-04-08,NS
65,01-01-01-04-10,01-01-01-04-09,NS
